Company name,LA type,Start date,End date
SYDNEY JIREH PRESBYTERIAN CHURCH INC,Industry - Minister of Religion,03-Aug-2021,02-Aug-2026
SYMES AGRICULTURE PTY LTD,Northern Territory DAMA,23-Aug-2021,22-Aug-2026
SYNOD OF DIOCESE OF ADELAIDE OF ANGLICAN CHURCH OF AUST INC,Industry - Minister of Religion,21-Jul-2021,20-Jul-2026
T & N DANG PTY LTD,Northern Territory DAMA,26-Aug-2021,25-Aug-2026
Ten Minutes By Tractor Wine Co Pty Ltd,Industry – Premium Dining,01-Sep-2021,31-Aug-2026
TENRIKYO OCEANIA CENTRE LIMITED,Industry - Minister of Religion,15-Jul-2021,14-Jul-2026
Territory Child Care Group Inc,Northern Territory DAMA,09-Jun-2021,08-Jun-2026
THE DIOCESE OF THE ARMENIAN CHURCH OF AUSTRALIA AND NEW ZEALAND (PROPERTIES) LTD,Industry - Minister of Religion,06-May-2021,05-May-2026
THE JEWELLERY GROUP PTY LIMITED,Adelaide City Tech and Innovation DAMA,23-Jun-2021,22-Jun-2026
The Trustee for Hillsong Church Australia,Industry - Minister of Religion,18-Aug-2021,17-Aug-2026
The Trustee for MARK OBERTHUR FAMILY TRUST,Far North Queensland DAMA,11-Aug-2021,10-Aug-2026
THE UNITING CHURCH IN AUSTRALIA PROPERTY TRUST (VICTORIA),Industry - Minister of Religion,20-Aug-2021,19-Aug-2026
THI NGOC HIEU NGUYEN & VAN BUI,Goldfields DAMA,27-Aug-2021,26-Aug-2026
THUBTEN SHEDRUP LING MONASTERY INC,Industry - Minister of Religion,15-Sep-2021,14-Sep-2026
TIPU PTY LTD,Industry – Premium Dining,29-Jun-2021,28-Jun-2026
TOOWOOMBA ISLAMIC CHARITABLE ORGANISATION PTY LTD,Industry - Minister of Religion,13-Jul-2021,12-Jul-2026
TOTAL SOLUTIONS (QLD) PTY LTD,Far North Queensland DAMA,02-Jul-2021,01-Jul-2026
Touch Community Church Incorporated,Industry - Minister of Religion,21-Jul-2021,20-Jul-2026
TROPICANA BANANA PTY LIMITED,Far North Queensland DAMA,27-Jul-2021,26-Jul-2026
VANGATE PTY. LTD,Far North Queensland DAMA,22-Sep-2021,21-Sep-2026
VERSATILE PROPERTY SERVICES PTY LTD,Industry - On-Hire,11-Jun-2021,10-Jun-2026
Veterinary Emergency Treatment Services Pty Ltd,Far North Queensland DAMA,07-Jun-2021,06-Jun-2026
VIGR HOLDINGS PTY LTD,Northern Territory DAMA,04-Aug-2021,03-Aug-2026
Viticon Investments Pty Ltd,Industry - Horticulture,05-Aug-2021,04-Aug-2026
Vue Group Pty Ltd,Industry – Premium Dining,05-Aug-2021,04-Aug-2026
WAVERTREE FARMS (NSW) PTY LTD,Industry - Horticulture,07-Sep-2021,06-Sep-2026
Wendy Dorothy Jones,Industry - Dairy,22-Jun-2021,21-Jun-2026
WOODWARD FOODS AUSTRALIA PTY LTD,Industry - Meat,04-Aug-2021,03-Aug-2026
YAMBUK DAIRIES LP,Great South Coast DAMA,30-Jul-2021,29-Jul-2026
YOUNGHOLMES PTY LTD,Company Specific,17-Sep-2021,16-Sep-2026
Adara Development (Australia),Skilled Refugee Pilot,07-Feb-2022,06-Feb-2027
Ai Group Limited,Skilled Refugee Pilot,04-Feb-2022,03-Feb-2027
ALDI STORES (A LIMITED PARTNERSHIP),GTS - Established business,29-Jun-2021,28-Jun-2026
ALICE SPRINGS CASINO OPERATIONS PTY LTD,Northern Territory DAMA,11-Feb-2022,10-Feb-2027
Alice Springs Islamic Society Inc,Industry - Minister of Religion,20-Oct-2021,19-Oct-2026
Ampeadji Pty Ltd,Orana DAMA,07-Dec-2021,06-Dec-2026
APNIC Pty Ltd,Skilled Refugee Pilot,05-Jan-2022,04-Jan-2027
ARTEMIS AGRICULTURE PTY LTD ATF ARTEMIS AGRICULTURE TRUST,Industry - Horticulture,29-Nov-2021,28-Nov-2026
australian islamic cultural center,Industry - Minister of Religion,15-Oct-2021,14-Oct-2026
Australian Longline Fishing Pty Ltd,Industry - Fishing,13-Dec-2021,12-Dec-2026
Australian Ocean Producers Pty Ltd,Industry - Fishing,06-Aug-2021,05-Aug-2026
AUSTRALIAN SUSTAINABLE TIMBERS PTY LIMITED,Skilled Refugee Pilot,11-Jan-2022,10-Jan-2027
Baillies Longitude 131 Pty Ltd,Northern Territory DAMA,10-Jan-2022,09-Jan-2027
BANCROFT CONSULTING PTY. LIMITED,Company Specific,24-Feb-2022,23-Feb-2027
BEAUTE ON THE MALL PTY LTD,Northern Territory DAMA,10-Dec-2021,09-Dec-2026
Bernardi Group Pty Ltd,Company Specific,16-Mar-2022,15-Mar-2027
BERRAFORD PTY LTD,Industry - Pork,17-Feb-2022,16-Feb-2027
BERRY HOLDINGS OF AUSTRALIA PTY LTD & COSTA BERRY HOLDINGS PTY LTD,Industry - Horticulture,01-Mar-2022,28-Feb-2027
Bethany Brisbane International Church Inc.,Industry - Minister of Religion,11-Oct-2021,10-Oct-2026
BEYOND ESSENTIAL SYSTEMS PTY LTD,Company Specific,05-Oct-2021,04-Oct-2026
Bingil Bay Beef Pty Ltd,Industry - Meat,20-Jan-2022,19-Jan-2027
Bishdun Pty Ltd,Northern Territory DAMA,07-Mar-2022,06-Mar-2027
Bowhill Engineering Pty Ltd,South Australia Regional DAMA,21-Feb-2022,20-Feb-2027
Bradken Resources Pty Limited,South Australia Regional DAMA,25-Nov-2021,24-Nov-2026
BRILLIANT BOTON (AUSTRALIA) CONVEYOR SERVICES PTY LTD,Company Specific,07-Mar-2022,06-Mar-2027
Bristol-Myers Squibb Australia Pty Ltd,GTS - Established business,21-Dec-2021,20-Dec-2026
Budage Pty Ltd,Skilled Refugee Pilot,10-Feb-2022,09-Feb-2027
CA & JL PEACOCK,Industry - Dairy,03-Mar-2022,02-Mar-2027
Callaghan Motors PTY LTD,Great South Coast DAMA,21-Feb-2022,20-Feb-2027
Carinya Home for the Aged,Far North Queensland DAMA,28-Feb-2022,27-Feb-2027
Cast Professional Services Pty Ltd,Skilled Refugee Pilot,12-Nov-2021,11-Nov-2026
Castlegate Dental Associates PTY LTD ATF Castlegate Family Dental Care Unit Trust,Company Specific,29-Apr-2021,28-Apr-2026
CCL FAMILY INVESTMENT PTY LTD,Far North Queensland DAMA,06-Dec-2021,05-Dec-2026
Celebrate Messiah Ltd,Industry - Minister of Religion,17-Dec-2021,16-Dec-2026
CELLCON AUSTRALIA PTY LTD,Company Specific,15-Nov-2021,14-Nov-2026
CENTRAL DESERT DISTRIBUTORS PTY LTD,Company Specific,18-Nov-2021,17-Nov-2026
Charles I.F.E. Pty Ltd,Industry - Pork,24-Jan-2022,23-Jan-2027
THE CHINESE CHRISTIAN CHURCH,Industry - Minister of Religion,30-Sep-2021,29-Sep-2026
Chris Barnard Nursing Agency Pty Ltd,Industry - On-Hire,28-Jan-2022,27-Jan-2027
Christian Aboriginal Parent Directed School Kurrawang,Goldfields DAMA,17-Jan-2022,16-Jan-2027
CHURCH OF GOD WORLD MISSION SOCIETY INCORPORATED,Industry - Minister of Religion,05-Oct-2021,04-Oct-2026
Clipper Pearls Pty Ltd,Company Specific,24-Dec-2021,23-Dec-2026
COBAR SHIRE COUNCIL,Orana DAMA,21-Oct-2021,20-Oct-2026
Comfresh Pty Ltd,Industry - Horticulture,11-Mar-2022,10-Mar-2027
Conlon Management Pty Ltd,Industry - On-Hire,31-Jan-2023,30-Jan-2028
COPTIC ORTHODOX CHURCH - DIOCESE OF SYDNEY AND AFFILIATED REGIONS,Industry - Minister of Religion,01-Nov-2021,31-Oct-2026
Coptic Orthodox Church Diocese of Melbourne,Industry - Minister of Religion,06-Sep-2021,05-Sep-2026
CSDC Nominees Pty Ltd,Northern Territory DAMA,12-Jul-2021,11-Jul-2026
CURIUM PTY LIMITED,Far North Queensland DAMA,02-Dec-2021,01-Dec-2026
D. TRANDOS & SONS PTY LTD,Industry - Horticulture,28-Jan-2022,27-Jan-2027
D.M O'BRIEN & M.J O'BRIEN & T.M O'BRIEN,Orana DAMA,31-Jan-2022,30-Jan-2027
DANG & VU ENTERPRISE PTY LTD,Northern Territory DAMA,15-Oct-2021,14-Oct-2026
DAY CONSULTING PTY LTD,Skilled Refugee Pilot,03-Nov-2021,02-Nov-2026
DAYS EGGS PTY LTD,South Australia Regional DAMA,12-Jan-2022,11-Jan-2027
EC CARPETS PTY LTD,South Australia Regional DAMA,24-Sep-2021,23-Sep-2026
Edjones Pty Ltd as Trustee for Edward Jones Family Trust,Company Specific,19-Jan-2022,18-Jan-2027
EL- JASBELLA GROUP HR PTY LTD,South Australia Regional DAMA,04-Mar-2022,03-Mar-2027
EMU DOWNS WA PTY LTD,Industry - Pork,20-Dec-2021,19-Dec-2026
ENSPEC PTY LTD,Company Specific,12-Nov-2021,11-Nov-2026
Epilogue Enterprises Pty Ltd,Northern Territory DAMA,09-Dec-2021,08-Dec-2026
ERNST & YOUNG SERVICES PTY LIMITED,Skilled Refugee Pilot,28-Jan-2022,27-Jan-2027
Exact Contracting Services Pty Ltd,Northern Territory DAMA,31-Jan-2022,30-Jan-2027
Faith Community Church Inc,Industry - Minister of Religion,06-Dec-2021,05-Dec-2026
Fitzroy Island Investments Pty Ltd,Far North Queensland DAMA,17-Nov-2021,16-Nov-2026
FOSTERS PRACTICE GROUP PTY LTD ATF FOSTERS PRACTICE TRUST,Company Specific,01-Dec-2021,30-Nov-2026
FREE SERBIAN ORTHODOX CHURCH & SCHOOL CONGREGATION OF ST SAVA AT HINDMARCH SA INC,Industry - Minister of Religion,29-Oct-2021,28-Oct-2026
Freedom Dairying Pty Ltd,Great South Coast DAMA,23-Nov-2021,22-Nov-2026
FUSE HAIR AND BEAUTY PTY LTD,Northern Territory DAMA,06-Jan-2022,05-Jan-2027
Gap Child Care Community Centre,Northern Territory DAMA,09-Dec-2021,08-Dec-2026
GERMAN LUTHERAN CHURCH SYDNEY INC,Industry - Minister of Religion,02-Nov-2021,01-Nov-2026
"GONZALEZ FONTE, MAXIMILIANO HERNAN",Northern Territory DAMA,22-Dec-2021,21-Dec-2026
GOOD NEWS FELLOWSHIP OF THE RUSSIAN SPEAKING SLAVIC EVANGELICAL BAPTISTS IN SYDNEY,Industry - Minister of Religion,05-Nov-2021,04-Nov-2026
GRAY CHILD CARE CENTRE INCORPORATED,Northern Territory DAMA,17-Dec-2021,16-Dec-2026
GREENMOUNTAIN FOOD PROCESSING PTY LTD,Industry - Meat,10-Nov-2021,09-Nov-2026
GROUP HOMES AUSTRALIA PTY LTD,Company Specific,08-Oct-2021,07-Oct-2026
GroupM Communications Pty Ltd,Industry - Advertising,08-Jul-2021,07-Jul-2026
GUNPORK MANAGEMENT PTY LIMITED,Industry - Pork,15-Nov-2021,14-Nov-2026
H&O KILPATRICK PTY LTD,Great South Coast DAMA,24-Nov-2021,23-Nov-2026
HACHETTE AUSTRALIA PTY LTD,Skilled Refugee Pilot,22-Feb-2022,21-Feb-2027
HARDWICKS MEAT WORKS PTY LTD,Industry - Meat,11-Feb-2022,10-Feb-2027
Hindu Society of NT INC,Industry - Minister of Religion,22-Oct-2021,21-Oct-2026
HOPSCOTCH & CO PTY LTD,Far North Queensland DAMA,01-Nov-2021,31-Oct-2026
HOUSE OF CARNIVORE PTY LTD,South Australia Regional DAMA,05-Jan-2022,04-Jan-2027
Inside Out Nutritious Goods Pty Ltd,Company Specific,16-Feb-2022,15-Feb-2027
